"X","USDAcode","GPI_status"
594,"VIRU2","invasive"
595,"VIVU","invasive"
596,"MEAR14","invasive"
597,"RAAC3","invasive"
598,"TYAN","invasive"
599,"PIOO2","invasive"
600,"SESQ","invasive"
601,"DIGR3","invasive"
602,"ARAN3","invasive"
603,"MADI6","invasive"
604,"CRSE2","invasive"
605,"RUHI2","invasive"
606,"AEPO","invasive"
607,"ANSY","invasive"
608,"ARLA3","invasive"
609,"BAVU","invasive"
610,"BUUM","invasive"
611,"CARA","invasive"
612,"VICR","invasive"
613,"SODU","invasive"
614,"SIVU","invasive"
615,"PRVU","invasive"
616,"POAR8","invasive"
617,"MYSC","invasive"
618,"LYNU","invasive"
619,"LYEU","invasive"
620,"HYMO6","invasive"
621,"HEMA3","invasive"
622,"HEFU","invasive"
623,"POCOC2","invasive"
624,"DIAR","invasive"
625,"CIPA6","invasive"
626,"44234","invasive"
627,"PLRU","invasive"
628,"AGCA5","invasive"
629,"ANOD","invasive"
630,"HOMU","invasive"
631,"CAPY2","invasive"
632,"ERBO","invasive"
633,"VUMY","invasive"
634,"SYJA","invasive"
635,"SOEL","invasive"
636,"ARCA45","invasive"
637,"MOCA2","invasive"
638,"SOTA3","invasive"
639,"SOVI2","invasive"
640,"CYFU3","invasive"
641,"SOMA2","invasive"
642,"SOSI","invasive"
643,"SOME","invasive"
644,"SOJA3","invasive"
645,"SOCI","invasive"
646,"SOCA22","invasive"
647,"CIPU","invasive"
648,"CAGI11","invasive"
649,"ASGA2","invasive"
650,"NAMI","invasive"
651,"NENU2","invasive"
652,"PISY","invasive"
653,"VIMI2","invasive"
654,"JUAI2","invasive"
655,"JUCI","invasive"
656,"JUMA8","invasive"
657,"JUNI","invasive"
658,"ANLE4","invasive"
659,"CAKO2","invasive"
660,"LALA4","invasive"
661,"LASY","invasive"
662,"VIVI","invasive"
663,"RUOB","invasive"
664,"ANOC","invasive"
665,"COLA","invasive"
666,"COSA","invasive"
667,"CULO","invasive"
668,"ELBU","invasive"
669,"SACY8","invasive"
670,"ACAM","invasive"
671,"SEAL5","invasive"
672,"TEBE","invasive"
673,"SAFA11","invasive"
674,"CAFI4","invasive"
675,"MEBI4","invasive"
676,"CEME2","invasive"
677,"ALIN2","invasive"
678,"ALRU2","invasive"
679,"OXAR5","invasive"
680,"AEAM","invasive"
681,"ALCA7","invasive"
682,"AMDU","invasive"
683,"BATO","invasive"
684,"BENE3","invasive"
685,"BOBL","invasive"
686,"BRPI4","invasive"
687,"CACA42","invasive"
688,"CAEL5","invasive"
689,"CLSP7","invasive"
690,"CODI5","invasive"
691,"CRRE4","invasive"
692,"CYIN6","invasive"
693,"DERE","invasive"
694,"DICI2","invasive"
695,"DISE7","invasive"
696,"DIIN2","invasive"
697,"DIAL2","invasive"
698,"DIBU","invasive"
699,"EIAZ2","invasive"
700,"ENGI","invasive"
701,"ERPO5","invasive"
702,"EULA8","invasive"
703,"GOGL","invasive"
704,"GOBA","invasive"
705,"HEIN","invasive"
706,"IMBA","invasive"
707,"INTI","invasive"
708,"IXTH","invasive"
709,"JASA","invasive"
710,"LENE","invasive"
711,"LUAC2","invasive"
712,"MAAM2","invasive"
713,"MUPR","invasive"
714,"PAAC3","invasive"
715,"PHLU2","invasive"
716,"PIAU","invasive"
717,"PIDU","invasive"
718,"ROCO6","invasive"
719,"RUNI4","invasive"
720,"SEED","invasive"
721,"SESP9","invasive"
722,"SPZE","invasive"
723,"STAP","invasive"
724,"TAER","invasive"
725,"TECA","invasive"
726,"THFR2","invasive"
727,"TRSP8","invasive"
728,"TRLA24","invasive"
729,"TRBO5","invasive"
730,"TUCO","invasive"
731,"URLO","invasive"
732,"VIDE3","invasive"
733,"VITR7","invasive"
734,"CIAUA","invasive"
735,"KUST2","invasive"
736,"HEAN3","invasive"
737,"LOPEM2","invasive"
738,"RUAR9","invasive"
739,"AEAR4","invasive"
740,"SPIN4","invasive"
741,"SPAL2","invasive"
742,"SOSE2","invasive"
743,"SOFU4","invasive"
744,"SIAN","invasive"
745,"SEFA","invasive"
746,"SAOR4","invasive"
747,"SALA2","invasive"
748,"RHTY","invasive"
749,"PITO2","invasive"
750,"PIST","invasive"
751,"POOR2","invasive"
752,"POCA21","invasive"
753,"PEVI2","invasive"
754,"CHSE4","invasive"
755,"CHPR6","invasive"
756,"EPCI","invasive"
757,"EHER","invasive"
758,"ECPR","invasive"
759,"CYER","invasive"
760,"CUSU","invasive"
761,"ALCA5","invasive"
762,"CRHE5","invasive"
763,"COCO7","invasive"
764,"COAU3","invasive"
765,"COHO80","invasive"
766,"COSE16","invasive"
767,"CHNU9","invasive"
768,"CHMA15","invasive"
769,"ASAS4","invasive"
770,"APCO","invasive"
